,brand_ch,brand_en,cleaned_brand,sim_ch,repeat,sim_en,repeaten
157,丹麥德瑪,derma,derma丹麥德瑪,[],0,"[('derma', 100), ('dermal', 91), ('dermisa', 83)]",0
158,樂天,lotte,lotte樂天,['樂天'],0,"[('lotte', 100), ('lotto', 80)]",0
159,興波咖啡,simple kaffa,simple kaffa興波咖啡,['興波咖啡'],0,[],0
160,沛特斯,petal fresh,petal fresh沛特斯,['沛特斯'],0,[],0
161,博帝,viper,viper博帝,[],0,[],0
162,倩碧,clinique,clinique倩碧,[],0,[],0
163,凱婷,kate tokyo,kate tokyo凱婷,[],1,[],0
164,婕洛妮絲,jealousness,jealousness婕洛妮絲,[],0,[],0
165,米森,vilson,vilson米森,[],0,[],0
166,日本植物精粹極緻奢華保養,lits,lits日本植物精粹極緻奢華保養,[],0,[],0
167,豐台灣,from taiwan,from taiwan豐台灣,[],0,[],0
168,近江兄弟社,omi,omi近江兄弟社,[],0,"[('pomi', 86)]",0
169,牛爾親研,naruko,naruko牛爾親研,[],0,[],0
170,法米納,farmina,farmina法米納,[],0,[],0
171,0.0,ph9.0,ph9.0.0,[],0,[],0
172,三洋,sanlux,sanlux三洋,[],0,[],1
173,竣寶,gimpet,gimpet竣寶,[],0,[],0
174,蜂王,queen bee,queen bee蜂王,[],0,[],0
175,杜克,c-skin,c-skin杜克,[],0,[],0
176,慧心貓糧,smartheart,smartheart慧心貓糧,[],0,[],1
177,貓戀人,honey cat,honey cat貓戀人,['貓戀人'],0,[],0
178,廣鼎,intopic,intopic廣鼎,[],0,[],0
179,植感,q'her,q'her植感,[],0,[],0
180,凡士林,vaseline,vaseline凡士林,[],0,[],0
181,植村秀,shu uemura,shu uemura植村秀,[],0,[],0
182,艾薇塔,evita,evita艾薇塔,[],0,"[('vita', 89), ('revital', 83)]",0
183,西西露,sexylook,sexylook西西露,[],0,[],0
184,赫蓮娜,helena rubinstein,helena rubinstein赫蓮娜,['hr赫蓮娜'],0,[],0
185,夏普,sharp,sharp夏普,['夏普'],0,[],0
186,花王,kao,kao花王,['花王'],0,[],0
187,法麗,cherie,cherie法麗,[],0,[],0
188,捷森,jason,jason捷森,[],0,[],0
189,琺鈉,vana candles,vana candles琺鈉,[],0,[],0
190,香奈兒,chanel,chanel香奈兒,[],0,[],0
191,西雅圖,barista,barista西雅圖,['西雅圖'],0,"[('brita', 83)]",0
192,索尼,sony,sony索尼,[],0,"[('sony', 100)]",0
193,漁極,akika,akika漁極,[],0,[],0
194,艾諾琪,energy,energy艾諾琪,[],0,[],0
195,福壽,fuso,fuso福壽,['fuso pets福壽'],0,[],0
196,芮可,rico,rico芮可,[],0,[],0
197,耐嘉,kinyo,kinyo耐嘉,[],0,[],0
198,可口可樂,coca cola,coca cola可口可樂,[],0,[],0
199,紐崔克,natureke,natureke紐崔克,[],0,"[('naturehike', 89), ('naturie', 80)]",0
200,貝奧莉,browit,browit貝奧莉,[],0,[],0
201,微星科技,msi,msi微星科技,[],0,[],1
202,始祖鳥,arcteryx,arcteryx始祖鳥,[],0,[],0
203,雷蛇,razer,razer雷蛇,[],0,[],0
204,愛維他,lovita,lovita愛維他,['愛維他'],0,"[('vita', 80)]",0
205,茲恩,zenn.th,zenn.th茲恩,[],0,[],0
206,優沛特,upet,upet優沛特,[],0,[],0
207,天際線,horizon,horizon天際線,[],0,"[('orion', 83)]",0
208,威德,weider,weider威德,['威德'],0,[],0
209,桂格,quaker,quaker桂格,[],0,[],0
210,克麗詩黛,kocskin,kocskin克麗詩黛,[],0,[],0
211,直覺,sweet touch,sweet touch直覺,['直覺'],0,[],0
212,奧蜜思,orbis,orbis奧蜜思,[],0,[],0
213,奧力棒,ozbone,ozbone奧力棒,[],0,"[('bone', 80)]",0
214,美津農,mizuno,mizuno美津農,[],0,[],1
215,倍思特,best,best倍思特,[],0,[],0
216,范倫鐵諾,valentino rudy,valentino rudy范倫鐵諾,[],0,[],0
217,斑馬牌,zebra ,zebra 斑馬牌,[],0,[],0
218,汰漬,tide,tide汰漬,[],0,"[('tide', 100)]",0
219,多芬,dove,dove多芬,['多芬'],0,[],0
220,惠普,hp,hp惠普,[],0,[],0
221,櫻花,sakura,sakura櫻花,[],0,[],0
222,狼蛛,aula,aula狼蛛,[],0,[],0
223,狐鐳,foxxray,foxxray狐鐳,[],0,[],0
224,喵樂,m'daryn,m'daryn喵樂,[],0,[],0
225,偉嘉,whiskas,whiskas偉嘉,[],0,[],0
226,可利亞,kria,kria可利亞,[],0,[],0
227,綠的,green,green綠的,['綠的'],0,"[('greenon', 83)]",0
228,麗優,duo,duo麗優,[],0,[],0
229,伊克萊,egekilde,egekilde伊克萊,[],0,[],0
230,樂敦,rohto,rohto樂敦,[],0,[],1
231,碧菲絲特,bifesta,bifesta碧菲絲特,[],0,[],0
232,天天美麗,beauty buffet,beauty buffet天天美麗,[],0,[],0
233,東芝,toshiba,toshiba東芝,['東芝'],0,[],0
234,雪花秀,sulwhasoo,sulwhasoo雪花秀,[],0,[],0
235,魔唇,therapind,therapind魔唇,[],0,[],0
236,聖羅蘭,ysl,ysl聖羅蘭,[],0,"[('sl', 80)]",1
237,耐吉斯,solution,solution耐吉斯,[],0,"[('jmsolution', 89), ('evolution', 82)]",0
238,明色,meishoku,meishoku明色,[],0,[],0
239,資生堂東京櫃,shiseido,shiseido資生堂東京櫃,[],0,"[('shiseido men', 80)]",1
240,愛思,is,is愛思,[],0,[],0
241,韓國歐紳,osner,osner韓國歐紳,[],0,"[('oster', 80)]",0
242,夏爾保養,sher,sher夏爾保養,[],0,"[('she', 86)]",0
243,清妍,simple,simple清妍,[],0,[],0
244,台塑生醫,forte,forte台塑生醫,['台塑生醫'],1,[],0
245,自然物語,nature story,nature story自然物語,[],0,[],0
246,台隆手創館,tokyu hands,tokyu hands台隆手創館,[],0,[],0
247,愛喜雅,aixia,aixia愛喜雅,[],0,[],0
248,菲詩小舖,the face shop,the face shop菲詩小舖,[],0,[],0
249,克蘭詩,clarins,clarins克蘭詩,[],0,[],0
250,日本獅王趣淨,lion kirei-kirei,lion kirei-kirei日本獅王趣淨,[],1,[],0
251,奧斯卡,etude,etude奧斯卡,[],0,[],0
252,亞米亞米,yami yami,yami yami亞米亞米,[],0,[],0
253,雪曼妮,shirmeny,shirmeny雪曼妮,[],0,[],0
254,海盜船,corsair,corsair海盜船,[],0,[],0
255,寵物健康,wellness,wellness寵物健康,[],0,"[('wellness', 100)]",0
256,日立,itachi,itachi日立,[],1,[],0
257,漢城淨雪,jeogseoul,jeogseoul漢城淨雪,[],0,[],0
258,努特,nuit,nuit努特,[],0,[],0
259,明基,benq,benq明基,[],0,[],0
260,達爾膚,dr.wu,dr.wu達爾膚,[],0,[],0
